Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
DORSETT RESIDENCES BUKIT BINTANG,BUKIT BINTANG,KUALA LUMPUR,FREEHOLD,SERVICE RESIDENCE,1341465.0,1664.0,50
BANDAR TASIK PUTERI,RAWANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,400000.0,281.0,93
BANDAR UTAMA,BANDAR UTAMA,SELANGOR,FREEHOLD,TERRACE HOUSE,1510000.0,849.0,92
PERWIRA SERI ISKANDAR,SERI ISKANDAR,PERAK,LEASEHOLD,TERRACE HOUSE,145000.0,104.0,92
TAMAN AUSTIN DUTA,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,781000.0,493.0,92
TAMAN AUSTIN DUTA,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,781000.0,493.0,92
TAMAN PULAI INDAH,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,460000.0,321.0,92
TAMAN PULAI INDAH,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,460000.0,321.0,92
BANDAR BARU LAPANGAN,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,588800.0,369.0,91
TAMAN PUTERIMAS (KLUANG),KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,250750.0,119.0,89
D'ART HILLS RESIDENCE,SENAI,JOHOR,FREEHOLD,TERRACE HOUSE,839000.0,591.0,89
TAMAN DESA BERTAM,TANJONG MINYAK,MELAKA,FREEHOLD,CLUSTER HOUSE,453000.0,185.0,89
TAMAN DESA BERTAM,TANJONG MINYAK,MELAKA,FREEHOLD,SEMI D,453000.0,185.0,84
TAMAN REM,KOTA TINGGI,JOHOR,LEASEHOLD,TERRACE HOUSE,246600.0,160.0,89
TAMAN PULAI MUTIARA 2,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,564230.0,252.0,88
TAMAN PULAI MUTIARA 2,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,564230.0,252.0,88
KOTA BAYUEMAS,KLANG,SELANGOR,FREEHOLD,SEMI D,804000.0,446.0,84
KOTA BAYUEMAS,KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,804000.0,446.0,88
TAMAN KOTA IMPIAN @ IMPIAN HILLS,KOTA TINGGI,JOHOR,FREEHOLD,TERRACE HOUSE,713000.0,405.0,87
EKA HEIGHTS - PRECINCT 3B,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,400000.0,267.0,87
BANDAR SPRINGHILL,JIMAH,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,220000.0,179.0,86
TAMAN HIJAUAN VALDOR,SUNGAI BAKAP,PENANG,FREEHOLD,SEMI D,675000.0,241.0,84
TAMAN HIJAUAN VALDOR,SUNGAI BAKAP,PENANG,FREEHOLD,TERRACE HOUSE,675000.0,241.0,85
TAMAN SRI GOMBAK,BATU CAVES,SELANGOR,FREEHOLD,TERRACE HOUSE,450000.0,556.0,85
FLORA DAMANSARA APARTMENT,DAMANSARA PERDANA,SELANGOR,LEASEHOLD,APARTMENT,380000.0,447.0,37
TAMAN KOTA SRI AHMAD SHAH,KUANTAN,PAHANG,LEASEHOLD,TERRACE HOUSE,582222.0,334.0,84
TAMAN MESRA IMPIAN,KAMPAR,PERAK,LEASEHOLD,TERRACE HOUSE,300000.0,214.0,83
S2 HEIGHTS,SEREMBAN 2,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,775800.0,464.0,83
TAMAN SERI MAHKOTA,SITIAWAN,PERAK,FREEHOLD,TERRACE HOUSE,250000.0,179.0,82
TAMAN KINDING AKASIA,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,260000.0,186.0,82
TAMAN SHOREA HARTAMAS,PASIR PANJANG,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,250000.0,183.0,82
PRIMA D'MARINA,KUANTAN,PAHANG,LEASEHOLD,TERRACE HOUSE,431167.0,271.0,82
BUKIT JELUTONG,SHAH ALAM,SELANGOR,FREEHOLD,BUNGALOW,980000.0,437.0,70
BUKIT JELUTONG,SHAH ALAM,SELANGOR,FREEHOLD,SEMI D,980000.0,437.0,81
BUKIT JELUTONG,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,980000.0,437.0,81
BERIS MERAGA,KIJAL,TERENGGANU,FREEHOLD,SEMI D,320000.0,126.0,81
BERIS MERAGA,KIJAL,TERENGGANU,FREEHOLD,TERRACE HOUSE,320000.0,126.0,81
BAYU SUTERA - PRECINCT 3B,JIMAH,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,675888.0,483.0,80
BANDAR IOI,SEGAMAT,JOHOR,FREEHOLD,TERRACE HOUSE,349350.0,208.0,80
BANDAR COUNTRY HOMES,RAWANG,SELANGOR,FREEHOLD,SEMI D,420000.0,313.0,79
BANDAR COUNTRY HOMES,RAWANG,SELANGOR,FREEHOLD,TERRACE HOUSE,420000.0,313.0,79
SETIA SKY 88,JOHOR BAHRU,JOHOR,FREEHOLD,SERVICE RESIDENCE,1341465.0,1270.0,50
PER. PERMATANG BADAK PERDANA (PL 177521),KUANTAN,PAHANG,LEASEHOLD,TERRACE HOUSE,325000.0,232.0,78
EKA HEIGHTS - PRECINCT 3A,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,380000.0,267.0,78
TAMAN PUTRI KULAI,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,450000.0,292.0,78
TAMAN CENTURY,JOHOR BAHRU,JOHOR,FREEHOLD,SEMI D,609000.0,327.0,78
TAMAN CENTURY,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,609000.0,327.0,78
BANDAR SAUJANA PUTRA,TANJONG DUABELAS,SELANGOR,LEASEHOLD,TERRACE HOUSE,450000.0,339.0,78
TAMAN PUNCAK JALIL,SERI KEMBANGAN,SELANGOR,LEASEHOLD,TERRACE HOUSE,580000.0,400.0,78
TAMAN NADA EMBUN,RANTAU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,522000.0,368.0,77
RESIDENSI MESRA,GURUN,KEDAH,FREEHOLD,TERRACE HOUSE,232000.0,141.0,76
TAMAN MEGAH RIA,MASAI,JOHOR,FREEHOLD,SEMI D,436440.0,320.0,76
TAMAN MEGAH RIA,MASAI,JOHOR,FREEHOLD,TERRACE HOUSE,436440.0,320.0,76
TAMAN SAFFRON,SERENDAH,SELANGOR,FREEHOLD,TERRACE HOUSE,437100.0,357.0,75
SERENIA CITY,DENGKIL,SELANGOR,FREEHOLD,TERRACE HOUSE,828888.0,532.0,75
PUTRA HEIGHTS,SUBANG JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,855000.0,448.0,75
TAMAN AROWANA,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,276800.0,230.0,74
KOTA KEMUNING,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,844000.0,417.0,74
